job_name,job_version,job_status,Duration_min,job_start_time,job_finish_time,is_root_job,root_name,parent_name
fct_imdb_title_ratings_Copy,0.1,success,0.50,2022-04-28 11:40:36.323,2022-04-28 11:41:06.550,Y,fct_imdb_title_ratings_Copy,fct_imdb_title_ratings_Copy
fct_numbers_franchise_movies_box_office_copy,0.1,success,0.36,2022-04-28 11:40:21.587,2022-04-28 11:40:43.070,Y,fct_numbers_franchise_movies_box_office_copy,fct_numbers_franchise_movies_box_office_copy
stg_numbers_franchise_movies_box_office_Copy1,0.1,success,0.01,2022-04-28 11:40:01.360,2022-04-28 11:40:01.970,Y,stg_numbers_franchise_movies_box_office_Copy1,stg_numbers_franchise_movies_box_office_Copy1
fct_numbers_franchise_movies_box_office_copy,0.1,failure,0.32,2022-04-28 11:37:30.317,2022-04-28 11:37:49.287,Y,fct_numbers_franchise_movies_box_office_copy,fct_numbers_franchise_movies_box_office_copy
stg_numbers_franchise_movies_box_office_Copy1,0.1,success,0.01,2022-04-28 11:37:20.180,2022-04-28 11:37:20.813,Y,stg_numbers_franchise_movies_box_office_Copy1,stg_numbers_franchise_movies_box_office_Copy1
fct_numbers_franchise_movies_box_office_copy,0.1,failure,0.32,2022-04-28 11:34:27.563,2022-04-28 11:34:46.660,Y,fct_numbers_franchise_movies_box_office_copy,fct_numbers_franchise_movies_box_office_copy
fct_numbers_franchise_all_box_office_copy,0.1,success,0.02,2022-04-28 11:33:52.153,2022-04-28 11:33:53.170,Y,fct_numbers_franchise_all_box_office_copy,fct_numbers_franchise_all_box_office_copy
fct_numbers_daily_box_office_copy,0.1,success,0.32,2022-04-28 11:33:18.487,2022-04-28 11:33:37.940,Y,fct_numbers_daily_box_office_copy,fct_numbers_daily_box_office_copy
fct_imdb_brands_gross_copy,0.1,success,0.32,2022-04-28 11:32:39.990,2022-04-28 11:32:59.357,Y,fct_imdb_brands_gross_copy,fct_imdb_brands_gross_copy
fct_imdb_brands_list_copy,0.1,success,0.31,2022-04-28 11:32:07.120,2022-04-28 11:32:25.843,Y,fct_imdb_brands_list_copy,fct_imdb_brands_list_copy
fct_imdb_franchise_gross_copy,0.1,success,0.33,2022-04-28 11:31:38.027,2022-04-28 11:31:57.860,Y,fct_imdb_franchise_gross_copy,fct_imdb_franchise_gross_copy
dim_imdb_title_episode_copy,0.1,success,15.22,2022-04-28 11:16:24.890,2022-04-28 11:31:37.993,Y,dim_imdb_title_episode_copy,dim_imdb_title_episode_copy
fct_imdb_franchise_list_copy,0.1,success,5.44,2022-04-28 11:25:42.830,2022-04-28 11:31:09.030,Y,fct_imdb_franchise_list_copy,fct_imdb_franchise_list_copy
fct_movies_box_office_worldwide_copy,0.1,success,6.68,2022-04-28 11:18:19.677,2022-04-28 11:25:00.353,Y,fct_movies_box_office_worldwide_copy,fct_movies_box_office_worldwide_copy
stg_box_office_worldwide_copy,0.1,success,1.13,2022-04-28 11:16:59.827,2022-04-28 11:18:07.763,Y,stg_box_office_worldwide_copy,stg_box_office_worldwide_copy
fct_movies_box_office_worldwide_copy,0.1,success,0.96,2022-04-28 11:15:04.873,2022-04-28 11:16:02.537,Y,fct_movies_box_office_worldwide_copy,fct_movies_box_office_worldwide_copy
stg_imdb_title_episode_Copy,0.1,success,3.84,2022-04-28 11:00:10.167,2022-04-28 11:04:00.337,Y,stg_imdb_title_episode_Copy,stg_imdb_title_episode_Copy
dim_name_basics_primary_profession,0.1,success,1.84,2022-04-28 10:58:10.727,2022-04-28 11:00:01.083,Y,dim_name_basics_primary_profession,dim_name_basics_primary_profession
dim_imdb_title_episode_copy,0.1,success,0.17,2022-04-28 10:55:14.023,2022-04-28 10:55:24.460,Y,dim_imdb_title_episode_copy,dim_imdb_title_episode_copy
dim_imdb_title_principals_copy,0.1,success,39.23,2022-04-28 10:14:39.470,2022-04-28 10:53:52.993,Y,dim_imdb_title_principals_copy,dim_imdb_title_principals_copy
dim_imdb_primary_profession_copy,0.1,success,0.64,2022-04-28 10:50:21.527,2022-04-28 10:51:00.173,Y,dim_imdb_primary_profession_copy,dim_imdb_primary_profession_copy
dim_imdb_title_crew_directors_copy_empty,0.1,success,63.79,2022-04-28 09:46:00.650,2022-04-28 10:49:47.787,Y,dim_imdb_title_crew_directors_copy_empty,dim_imdb_title_crew_directors_copy_empty
dim_imdb_job_category_copy,0.1,success,6.46,2022-04-28 10:07:43.107,2022-04-28 10:14:10.553,Y,dim_imdb_job_category_copy,dim_imdb_job_category_copy
